"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0.125,0.25,0.375,0.5,0.5,0.625,0.75,0.875,1,2,1
"2",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2,0
"3",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,2,0
"4",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0,0,0,0,0.541666666666667,0.541666666666667,0.541666666666667,0.541666666666667,0.541666666666667,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,2,0
"5",2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.182692307692308,0.288461538461538,0.394230769230769,0.5,0.1875,0.198317307692308,0.209134615384615,0.219951923076923,0.230769230769231,0.3125,0.407451923076923,0.502403846153846,0.597355769230769,0.692307692307692,2,1
"6",5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0666666666666667,0.111111111111111,0.111111111111111,0.133333333333333,0,0.111111111111111,0.222222222222222,0.333333333333333,0.583333333333333,0.416666666666667,0.533333333333333,0.666666666666667,0.777777777777778,0.933333333333333,2,0
"7",6,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.15,0.2,0.25,0.3,0.35,0.075,0.1875,0.3,0.358333333333333,0.416666666666667,0.333333333333333,0.441666666666667,0.55,0.5625,0.575,2,1
"8",10,0,0,0,0,0,0,1,2,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.075,0.17,0.33,0.6,0,0,0.075,0.1725,0.24,0.4,0.49,0.635,0.8125,1,2,0
"9",10,0,0,0,0,0,0,4,3,1,0,0,0,0.75,2,0,0,0,0.75,1,0,0,0,0,1,0.25,0.267045454545455,0.303030303030303,0.336734693877551,0.346938775510204,0,0.122448979591837,0.172541743970315,0.240530303030303,0.416666666666667,0.333333333333333,0.450680272108843,0.517625231910946,0.575757575757576,0.666666666666667,2,0
