"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"2",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"3",0,1,23,23,23,23,23,0,0,0,1,1,1,1,1,0,0,0,0,0,6,6,6,6,6,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0,0,0,0,0,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,0.956521739130435,2,0
"4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0.25,0.5,0.75,1,2,2
"6",0,2,3,3.75,4.5,5.25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.25,2.5,2.75,3,0,0.0357142857142857,0.0714285714285714,0.107142857142857,0.142857142857143,0,0.0357142857142857,0.0714285714285714,0.107142857142857,0.142857142857143,0.714285714285714,0.785714285714286,0.857142857142857,0.928571428571429,1,2,1
"7",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"8",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163498098859316,0.163498098859316,0.163498098859316,0.163498098859316,0.163498098859316,0.258555133079848,0.258555133079848,0.258555133079848,0.258555133079848,0.258555133079848,0.577946768060836,0.577946768060836,0.577946768060836,0.577946768060836,0.577946768060836,2,1
"9",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.233333333333333,0.233333333333333,0.233333333333333,0.233333333333333,0.233333333333333,0.566666666666667,0.566666666666667,0.566666666666667,0.566666666666667,0.566666666666667,2,1
"10",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204081632653061,0.204081632653061,0.204081632653061,0.204081632653061,0.204081632653061,0.163265306122449,0.163265306122449,0.163265306122449,0.163265306122449,0.163265306122449,0.63265306122449,0.63265306122449,0.63265306122449,0.63265306122449,0.63265306122449,2,1
"11",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210169491525424,0.210169491525424,0.210169491525424,0.210169491525424,0.210169491525424,0.196610169491525,0.196610169491525,0.196610169491525,0.196610169491525,0.196610169491525,0.593220338983051,0.593220338983051,0.593220338983051,0.593220338983051,0.593220338983051,2,1
"12",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257142857142857,0.257142857142857,0.257142857142857,0.257142857142857,0.257142857142857,0.157142857142857,0.157142857142857,0.157142857142857,0.157142857142857,0.157142857142857,0.585714285714286,0.585714285714286,0.585714285714286,0.585714285714286,0.585714285714286,2,0
"13",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,2,1
"14",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,2,0
"15",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210169491525424,0.210169491525424,0.210169491525424,0.210169491525424,0.210169491525424,0.196610169491525,0.196610169491525,0.196610169491525,0.196610169491525,0.196610169491525,0.593220338983051,0.593220338983051,0.593220338983051,0.593220338983051,0.593220338983051,2,0
"16",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211267605633803,0.211267605633803,0.211267605633803,0.211267605633803,0.211267605633803,0.23943661971831,0.23943661971831,0.23943661971831,0.23943661971831,0.23943661971831,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,0.549295774647887,2,0
"17",1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,2,1
"18",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163498098859316,0.163498098859316,0.163498098859316,0.163498098859316,0.163498098859316,0.258555133079848,0.258555133079848,0.258555133079848,0.258555133079848,0.258555133079848,0.577946768060836,0.577946768060836,0.577946768060836,0.577946768060836,0.577946768060836,2,0
"19",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.6,0.6,0.6,2,1
"20",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,2,0
"21",1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.05,0.05,0.05,0.05,0.05,0.65,0.65,0.65,0.65,0.65,2,0
"22",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0.365384615384615,0.576923076923077,0.788461538461538,1,0,0.211538461538462,0.423076923076923,0.634615384615385,0.846153846153846,2,0
"23",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.14,0.21,0.28,0,0.05,0.1,0.15,0.2,0.52,0.64,0.76,0.88,1,2,1
"24",1,2,18,20,22,24,26,0,0,1,0,0,0,1,2,0,1,2,3,4,0,2,4,5,6,0.0526315789473684,0.0587044534412955,0.0647773279352227,0.0708502024291498,0.0769230769230769,0.230769230769231,0.238866396761134,0.246963562753036,0.255060728744939,0.263157894736842,0.684210526315789,0.686234817813765,0.688259109311741,0.690283400809717,0.692307692307692,2,0
"25",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647058823529,0.136180499597099,0.154713940370669,0.173247381144239,0.191780821917808,0.10958904109589,0.170427074939565,0.231265108783239,0.292103142626914,0.352941176470588,0.529411764705882,0.571716357775987,0.614020950846092,0.656325543916197,0.698630136986301,2,0
"26",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176470588235294,0.195912263210369,0.215353938185444,0.234795613160518,0.254237288135593,0.117647058823529,0.149675972083749,0.181704885343968,0.213733798604187,0.245762711864407,0.5,0.551470588235294,0.602941176470588,0.654411764705882,0.705882352941177,2,1
"27",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,2,1
"28",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,2,0.0416666666666667,0.0550595238095238,0.0684523809523809,0.0818452380952381,0.0952380952380952,0.19047619047619,0.194940476190476,0.199404761904762,0.203869047619048,0.208333333333333,0.714285714285714,0.723214285714286,0.732142857142857,0.741071428571429,0.75,2,1
"29",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.09375,0.122944078947368,0.152138157894737,0.181332236842105,0.210526315789474,0.315789473684211,0.322779605263158,0.329769736842105,0.336759868421053,0.34375,0.473684210526316,0.495888157894737,0.518092105263158,0.540296052631579,0.5625,2,0
"30",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952380952380952,0.129811804961506,0.164385514684916,0.198959224408326,0.233532934131737,0.238095238095238,0.238451668092387,0.238808098089535,0.239164528086684,0.239520958083832,0.526946107784431,0.56187624750499,0.596806387225549,0.631736526946108,0.666666666666667,2,0
