"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"2",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1
"3",0,1,15,15,15,15,15,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,2,0
"4",0,1,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.19047619047619,0.619047619047619,0.619047619047619,0.619047619047619,0.619047619047619,0.619047619047619,2,0
"5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"6",0,2,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0.25,0.5,0.75,1,2,2
"7",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0.5,1,1,1,2,2
"8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,2,1
"9",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"10",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,2,2
"11",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.375,0.375,0.375,0.625,0.625,0.625,0.625,0.625,2,0
"12",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,2,1
"13",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448275862069,0.103448275862069,0.103448275862069,0.103448275862069,0.103448275862069,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,2,1
"14",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138755980861244,0.138755980861244,0.138755980861244,0.138755980861244,0.138755980861244,0.205741626794258,0.205741626794258,0.205741626794258,0.205741626794258,0.205741626794258,0.655502392344498,0.655502392344498,0.655502392344498,0.655502392344498,0.655502392344498,2,2
"15",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,2,2
"16",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,2,2
"17",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379310344827586,0.379310344827586,0.379310344827586,0.379310344827586,0.379310344827586,0,0,0,0,0,0.620689655172414,0.620689655172414,0.620689655172414,0.620689655172414,0.620689655172414,2,0
"18",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0882352941176471,0.0882352941176471,0.0882352941176471,0.0882352941176471,0.0882352941176471,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.735294117647059,0.735294117647059,0.735294117647059,0.735294117647059,0.735294117647059,2,2
"19",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,2,0
"20",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.27027027027027,0.27027027027027,0.27027027027027,0.27027027027027,0.27027027027027,0.193693693693694,0.193693693693694,0.193693693693694,0.193693693693694,0.193693693693694,0.536036036036036,0.536036036036036,0.536036036036036,0.536036036036036,0.536036036036036,2,1
"21",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.338028169014085,0.338028169014085,0.338028169014085,0.338028169014085,0.338028169014085,0.197183098591549,0.197183098591549,0.197183098591549,0.197183098591549,0.197183098591549,0.464788732394366,0.464788732394366,0.464788732394366,0.464788732394366,0.464788732394366,2,1
"22",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0.103448275862069,0.103448275862069,0.103448275862069,0.103448275862069,0.103448275862069,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.310344827586207,0.586206896551724,0.586206896551724,0.586206896551724,0.586206896551724,0.586206896551724,2,1
"23",1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.193548387096774,0.193548387096774,0.193548387096774,0.193548387096774,0.193548387096774,0.606451612903226,0.606451612903226,0.606451612903226,0.606451612903226,0.606451612903226,2,1
"24",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,2,2
"25",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,2,2
"26",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,2,0
"27",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117977528089888,0.117977528089888,0.117977528089888,0.117977528089888,0.117977528089888,0.325842696629214,0.325842696629214,0.325842696629214,0.325842696629214,0.325842696629214,0.556179775280899,0.556179775280899,0.556179775280899,0.556179775280899,0.556179775280899,2,1
"28",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043478261,0.173913043478261,0.173913043478261,0.173913043478261,0.173913043478261,0.119565217391304,0.119565217391304,0.119565217391304,0.119565217391304,0.119565217391304,0.706521739130435,0.706521739130435,0.706521739130435,0.706521739130435,0.706521739130435,2,0
"29",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0.6,0.6,2,1
"30",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0.21875,0.21875,0.21875,0.21875,0.28125,0.28125,0.28125,0.28125,0.28125,0.5,0.5,0.5,0.5,0.5,2,1
"31",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237410071942446,0.237410071942446,0.237410071942446,0.237410071942446,0.237410071942446,0.165467625899281,0.165467625899281,0.165467625899281,0.165467625899281,0.165467625899281,0.597122302158273,0.597122302158273,0.597122302158273,0.597122302158273,0.597122302158273,2,1
"32",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327272727272727,0.327272727272727,0.327272727272727,0.327272727272727,0.327272727272727,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.490909090909091,0.490909090909091,0.490909090909091,0.490909090909091,0.490909090909091,2,0
"33",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.203125,0.203125,0.203125,0.203125,0.203125,0.3125,0.3125,0.3125,0.3125,0.3125,0.484375,0.484375,0.484375,0.484375,0.484375,2,1
"34",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0.0845070422535211,0.0845070422535211,0.0845070422535211,0.0845070422535211,0.0845070422535211,0.211267605633803,0.211267605633803,0.211267605633803,0.211267605633803,0.211267605633803,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,2,0
"35",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692307692,0.192307692307692,0.192307692307692,0.192307692307692,0.192307692307692,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308,0.5,0.5,0.5,0.5,0.5,2,1
"36",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193548387096774,0.193548387096774,0.193548387096774,0.193548387096774,0.193548387096774,0.290322580645161,0.290322580645161,0.290322580645161,0.290322580645161,0.290322580645161,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,0.516129032258065,2,1
"37",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204545454545455,0.204545454545455,0.204545454545455,0.204545454545455,0.204545454545455,0.227272727272727,0.227272727272727,0.227272727272727,0.227272727272727,0.227272727272727,0.568181818181818,0.568181818181818,0.568181818181818,0.568181818181818,0.568181818181818,2,1
"38",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,2,0
"39",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,2,0
"40",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,2,0
"41",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,2,1
"42",1,1,6,6,6,6,6,0,0,1,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0.75,1.5,2.25,3,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,2,1
"43",1,1,10,10,10,10,10,0,0,1,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0.5,1,1.5,2,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,2,1
"44",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0.3125,0,0.03125,0.0625,0.53125,1,0,0.3125,0.625,0.8125,1,2,0
"45",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0.0954545454545455,0.13030303030303,0.165151515151515,0.2,0.0909090909090909,0.118181818181818,0.145454545454545,0.172727272727273,0.2,0.6,0.662121212121212,0.724242424242424,0.786363636363636,0.848484848484849,2,0
"46",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.159787735849057,0.194575471698113,0.22936320754717,0.264150943396226,0.0943396226415094,0.112421383647799,0.130503144654088,0.148584905660377,0.166666666666667,0.641509433962264,0.658215408805031,0.674921383647799,0.691627358490566,0.708333333333333,2,0
"47",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216216216216216,0.231606606606607,0.246996996996997,0.262387387387387,0.277777777777778,0.324324324324324,0.326576576576577,0.328828828828829,0.331081081081081,0.333333333333333,0.388888888888889,0.406531531531532,0.424174174174174,0.441816816816817,0.459459459459459,2,1
"48",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0.141509433962264,0.148266906932372,0.15502437990248,0.161781852872589,0.168539325842697,0.216981132075472,0.218915624337503,0.220850116599534,0.222784608861565,0.224719101123595,0.606741573033708,0.615433538265847,0.624125503497986,0.632817468730125,0.641509433962264,2,0
"49",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0.264957264957265,0.266899766899767,0.268842268842269,0.270784770784771,0.272727272727273,0.159090909090909,0.185557498057498,0.212024087024087,0.238490675990676,0.264957264957265,0.47008547008547,0.494609557109557,0.519133644133644,0.543657731157731,0.568181818181818,2,0
"50",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,2,0.25,0.25,0.25,0.25,0.25,0.145833333333333,0.151041666666667,0.15625,0.161458333333333,0.166666666666667,0.583333333333333,0.588541666666667,0.59375,0.598958333333333,0.604166666666667,2,1
"51",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,0.168604651162791,0.168604651162791,0.168604651162791,0.168604651162791,0.168604651162791,0.203488372093023,0.203488372093023,0.203488372093023,0.203488372093023,0.203488372093023,0.627906976744186,0.627906976744186,0.627906976744186,0.627906976744186,0.627906976744186,2,0
"52",2,0,0,0,0,0,0,0,0,2,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.138049450549451,0.199175824175824,0.260302197802198,0.321428571428571,0.0769230769230769,0.102335164835165,0.127747252747253,0.153159340659341,0.178571428571429,0.5,0.586538461538462,0.673076923076923,0.759615384615385,0.846153846153846,2,0
