"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0,0,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,2,0
"2",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.168604651162791,0.170542635658915,0.172480620155039,0.174418604651163,0.166666666666667,0.180232558139535,0.193798449612403,0.207364341085271,0.22093023255814,0.604651162790698,0.62015503875969,0.635658914728682,0.651162790697674,0.666666666666667,2,0
"3",2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,2,0.0909090909090909,0.0994318181818182,0.107954545454545,0.116477272727273,0.125,0.0909090909090909,0.130681818181818,0.170454545454545,0.210227272727273,0.25,0.625,0.673295454545455,0.721590909090909,0.769886363636364,0.818181818181818,2,1
"4",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.228947368421053,0.257894736842105,0.286842105263158,0.315789473684211,0.210526315789474,0.257894736842105,0.305263157894737,0.352631578947368,0.4,0.4,0.418421052631579,0.436842105263158,0.455263157894737,0.473684210526316,2,0
"5",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.0789473684210526,0.157894736842105,0.236842105263158,0.315789473684211,0.2,0.202631578947368,0.205263157894737,0.207894736842105,0.210526315789474,0.473684210526316,0.555263157894737,0.636842105263158,0.718421052631579,0.8,2,1
"6",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2.5,3,0,0.0416666666666667,0.0833333333333333,0.113095238095238,0.142857142857143,0,0.0833333333333333,0.166666666666667,0.208333333333333,0.25,0.75,0.75,0.75,0.803571428571429,0.857142857142857,2,0
"7",3,0,0,0,0,0,0,1,0,2,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.166666666666667,0.25,0.333333333333333,0.166666666666667,0.1875,0.208333333333333,0.229166666666667,0.25,0.5,0.5625,0.625,0.6875,0.75,2,1
"8",4,1,11,11,11,11,11,1,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,2,0.133333333333333,0.153875968992248,0.174418604651163,0.471824686940966,0.769230769230769,0,0.11046511627907,0.22093023255814,0.343798449612403,0.466666666666667,0.230769230769231,0.315384615384615,0.4,0.502325581395349,0.604651162790698,2,0
"9",5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.266666666666667,0,0.0833333333333333,0.133333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.6,0.666666666666667,0.75,1,2,1
"10",5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.107142857142857,0.214285714285714,0.308035714285714,0.375,0,0,0,0.107142857142857,0.428571428571429,0.428571428571429,0.575892857142857,0.669642857142857,0.785714285714286,1,2,0
"11",6,0,0,0,0,0,0,4,1,1,0,0,0,0.75,1,0,0,0,0.75,1,0,0,0,0,1,0.1,0.196212121212121,0.292424242424242,0.388636363636364,0.484848484848485,0.151515151515152,0.238636363636364,0.325757575757576,0.412878787878788,0.5,0.363636363636364,0.372727272727273,0.381818181818182,0.390909090909091,0.4,2,1
"12",11,0,0,0,0,0,0,5,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0426829268292683,0.258333333333333,0.321428571428571,1,0,0,0,0.220833333333333,0.333333333333333,0,0.552439024390244,0.666666666666667,0.702380952380952,1,2,0
"13",15,1,2,2,2,2,2,3,5,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0.0681818181818182,0.208333333333333,0.333333333333333,0.5,0,0.0681818181818182,0.166666666666667,0.256944444444444,0.375,0.333333333333333,0.520833333333333,0.666666666666667,0.7625,0.833333333333333,2,1
