"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"2",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0.25,0.5,0.75,1,2,0
"4",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1
"5",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,2,1
"6",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.1875,0.1875,0.1875,0.1875,0.0625,0.0625,0.0625,0.0625,0.0625,0.75,0.75,0.75,0.75,0.75,2,0
"7",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"8",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116279069767442,0.116279069767442,0.116279069767442,0.116279069767442,0.116279069767442,0.232558139534884,0.232558139534884,0.232558139534884,0.232558139534884,0.232558139534884,0.651162790697674,0.651162790697674,0.651162790697674,0.651162790697674,0.651162790697674,2,2
"9",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,2,2
"10",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.125,0.1875,0.25,0.75,0.8125,0.875,0.9375,1,2,1
"11",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,2,1
"12",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,2,1
"13",2,1,4,4,4,4,4,0,0,2,0,0.5,1,1,1,0,0,0,0,0,0,0,0,0.5,1,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,2,0
"14",2,1,5,5,5,5,5,1,0,1,0,0,0,0.5,1,0,0,0,0.5,1,0,0,0,0.5,1,0.375,0.375,0.375,0.375,0.375,0.125,0.125,0.125,0.125,0.125,0.5,0.5,0.5,0.5,0.5,2,1
"15",3,0,0,0,0,0,0,0,2,1,0,0,0,0.5,1,0,0,0,0,0,1,1,1,2,3,0.116279069767442,0.119364024679639,0.122448979591837,0.213766862677274,0.305084745762712,0.232558139534884,0.268821442648798,0.305084745762712,0.397440332065029,0.489795918367347,0.387755102040816,0.388792805257696,0.389830508474576,0.520496649586125,0.651162790697674,2,0
"16",3,1,61,61,61,61,61,0,1,1,0,0,0,0.5,2,0,0,0,0,0,0,0.75,1,1,1,0.142857142857143,0.240863787375415,0.338870431893688,0.43687707641196,0.534883720930233,0.151162790697674,0.160991140642303,0.170819490586932,0.180647840531561,0.19047619047619,0.313953488372093,0.402131782945736,0.49031007751938,0.578488372093023,0.666666666666667,2,1
"17",4,0,0,0,0,0,0,4,0,0,0,0.75,1,1,1,0,0,0,0,0,0,0,0,0.25,1,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.115384615384615,0.115384615384615,0.115384615384615,0.115384615384615,0.115384615384615,0.346153846153846,0.346153846153846,0.346153846153846,0.346153846153846,0.346153846153846,2,0
"18",5,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.122448979591837,0.179645542427497,0.236842105263158,0.305921052631579,0.375,0.125,0.161184210526316,0.197368421052632,0.343582169709989,0.489795918367347,0.387755102040816,0.443877551020408,0.5,0.532894736842105,0.565789473684211,2,0
"19",6,4,0,0,5,11,14,3,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.192307692307692,0.447552447552448,0.636363636363636,0,0,0.0909090909090909,0.194055944055944,0.230769230769231,0.181818181818182,0.333916083916084,0.692307692307692,1,1,2,0
"20",7,1,21,21,21,21,21,1,0,6,0,0,0,0.25,2,0,0,0,0,0,0,0,0.5,1,7,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,2,0
"21",10,1,2,2,2,2,2,6,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0.270161290322581,0.305084745762712,0.380555555555556,0.533333333333333,0,0.0666666666666667,0.138888888888889,0.237903225806452,0.305084745762712,0.389830508474576,0.427777777777778,0.466666666666667,0.547491039426523,1,2,0
"22",15,0,0,0,0,0,0,1,3,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0.110197368421053,0.165217391304348,0.274285714285714,0.4,0,0.147826086956522,0.245,0.325,0.714285714285714,0,0.4625,0.56,0.710597826086957,0.789473684210526,2,1
"23",37,2,0,0.25,0.5,0.75,1,14,6,16,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0.122222222222222,0.357142857142857,0.5,0.642857142857143,0,0,0.142857142857143,0.225,0.5,0.214285714285714,0.366666666666667,0.5,0.656862745098039,1,2,0
"24",45,0,0,0,0,0,0,20,6,12,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0.529411764705882,0.533515731874145,0.540169133192389,0.569805194805195,0.642857142857143,0,0.0909090909090909,0.132034632034632,0.144933554817276,0.151162790697674,0.214285714285714,0.289036544850498,0.323643410852713,0.367647058823529,0.470588235294118,2,0
