"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"2",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"3",0,1,21,21,21,21,21,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,0.217391304347826,0.217391304347826,0.217391304347826,0.217391304347826,0.217391304347826,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,2,0
"4",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"5",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.5625,0.5625,0.5625,0.5625,2,0
"6",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0.875,0.875,0.875,0.875,0.875,2,2
"7",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.277777777777778,0.277777777777778,0.277777777777778,0.277777777777778,0.277777777777778,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,2,0
"8",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216216216216216,0.216216216216216,0.216216216216216,0.216216216216216,0.216216216216216,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.72972972972973,0.72972972972973,0.72972972972973,0.72972972972973,0.72972972972973,2,0
"9",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.625,0.625,0.625,0.625,0.625,2,1
"10",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289719626168224,0.289719626168224,0.289719626168224,0.289719626168224,0.289719626168224,0.205607476635514,0.205607476635514,0.205607476635514,0.205607476635514,0.205607476635514,0.504672897196262,0.504672897196262,0.504672897196262,0.504672897196262,0.504672897196262,2,1
"11",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.105263157894737,0.105263157894737,0.105263157894737,0.105263157894737,0.105263157894737,0.157894736842105,0.157894736842105,0.157894736842105,0.157894736842105,0.157894736842105,0.736842105263158,0.736842105263158,0.736842105263158,0.736842105263158,0.736842105263158,2,0
"12",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.7,0.7,0.7,2,0
"13",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.241379310344828,0.241379310344828,0.241379310344828,0.241379310344828,0.241379310344828,0.103448275862069,0.103448275862069,0.103448275862069,0.103448275862069,0.103448275862069,0.655172413793103,0.655172413793103,0.655172413793103,0.655172413793103,0.655172413793103,2,1
"14",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,2,0
"15",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263157894737,0.105263157894737,0.105263157894737,0.105263157894737,0.105263157894737,0.894736842105263,0.894736842105263,0.894736842105263,0.894736842105263,0.894736842105263,2,0
"16",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177777777777778,0.177777777777778,0.177777777777778,0.177777777777778,0.177777777777778,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.6,0.6,0.6,0.6,0.6,2,1
"17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,2,0
