"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"2",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"3",0,2,7,8.75,10.5,12.25,14,0,0,0,0,0.5,1,1.5,2,0,1.25,2.5,3.75,5,3,3.75,4.5,5.25,6,0,0.09375,0.1875,0.28125,0.375,0,0.078125,0.15625,0.234375,0.3125,0.625,0.640625,0.65625,0.671875,0.6875,2,0
"4",0,4,0,2.25,3,5.75,14,0,0,0,0,0,0,0.5,2,0,0,0,0.25,1,0,0,1,2,2,0,0.1875,0.258333333333333,0.325,0.5,0,0,0.0333333333333333,0.1125,0.25,0.25,0.5625,0.708333333333333,0.8125,1,2,0
"5",0,6,1,2.75,9.5,17,40,0,0,0,0,0,0,0,0,0,0,0,0.75,1,0,0.5,2,3.5,7,0,0,0,0.160714285714286,0.5,0,0.0125,0.155952380952381,0.44047619047619,1,0,0.4625,0.511904761904762,0.880952380952381,1,2,0
"6",0,14,1,2.25,9,16,34,0,0,0,0,0,1,1,3,0,0,1,1.75,3,0,1,1.5,3.5,7,0.0666666666666667,0.211300309597523,0.333333333333333,0.5,1,0,0.0108695652173913,0.166666666666667,0.221428571428571,0.555555555555556,0,0.256410256410256,0.5,0.630827067669173,0.782608695652174,2,0
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"8",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"9",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,2,2
"10",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264150943396226,0.264150943396226,0.264150943396226,0.264150943396226,0.264150943396226,0.264150943396226,0.264150943396226,0.264150943396226,0.264150943396226,0.264150943396226,0.471698113207547,0.471698113207547,0.471698113207547,0.471698113207547,0.471698113207547,2,1
"11",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.294117647058824,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.588235294117647,0.588235294117647,0.588235294117647,0.588235294117647,0.588235294117647,2,1
