"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"3",0,2,1,1.75,2.5,3.25,4,0,0,0,0,0,0,0,0,1,1.25,1.5,1.75,2,0,0.25,0.5,0.75,1,0,0,0,0,0,0.5,0.525,0.55,0.575,0.6,0.4,0.425,0.45,0.475,0.5,2,1
"4",0,3,0,0,0,0.5,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0.5,0.75,1,1,1,2,0
"5",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"6",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.814814814814815,0.814814814814815,0.814814814814815,0.814814814814815,0.814814814814815,2,1
"7",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.625,0.625,0.625,0.625,0.625,2,1
"8",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,2,0
"9",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,2,0
"10",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0
"11",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274509803921569,0.274509803921569,0.274509803921569,0.274509803921569,0.274509803921569,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.549019607843137,0.549019607843137,0.549019607843137,0.549019607843137,0.549019607843137,2,0
"12",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.2,0.2,0.2,0.2,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,2,1
"13",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0
"14",1,1,13,13,13,13,13,0,1,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,0,0,0,0,0,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,2,0
"15",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735294117647059,0.147058823529412,0.220588235294118,0.294117647058824,0.352941176470588,0.364705882352941,0.376470588235294,0.388235294117647,0.4,0.352941176470588,0.414705882352941,0.476470588235294,0.538235294117647,0.6,2,1
"16",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1
"17",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,0.4,0.466666666666667,0.533333333333333,0.6,0.666666666666667,0,0.05,0.1,0.15,0.2,0.333333333333333,0.35,0.366666666666667,0.383333333333333,0.4,2,1
"18",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.166666666666667,0.333333333333333,0.5,0.5,0.666666666666667,0.833333333333333,0.916666666666667,1,2,1
"19",3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.104166666666667,0.161458333333333,0.21875,0.276041666666667,0.333333333333333,0.2,0.280208333333333,0.360416666666667,0.440625,0.520833333333333,0.375,0.397916666666667,0.420833333333333,0.44375,0.466666666666667,2,1
"20",3,1,9,9,9,9,9,2,1,0,0,0.75,1,1,1,0,0,0,0.25,1,0,0,0.5,1.25,2,0,0.125,0.25,0.278846153846154,0.307692307692308,0.125,0.139423076923077,0.153846153846154,0.201923076923077,0.25,0.538461538461538,0.581730769230769,0.625,0.6875,0.75,2,0
"21",3,3,1,2,3,5.5,8,1,0,2,0,0,0.5,1,1,0,0,0,0,1,0,0,0,0.75,1,0,0.111111111111111,0.222222222222222,0.236111111111111,0.25,0,0,0,0.0555555555555556,0.111111111111111,0.666666666666667,0.708333333333333,0.75,0.875,1,2,0
"22",3,5,0,0,1,8,8,0,1,2,0,0,0,0,1,0,0,0,0.25,2,0,0,0,0.25,1,0,0,0,0,0.5,0,0,0,0,0.555555555555556,0.444444444444444,0.5,1,1,1,2,1
"23",4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150943396226415,0.150943396226415,0.150943396226415,0.150943396226415,0.150943396226415,0.207547169811321,0.207547169811321,0.207547169811321,0.207547169811321,0.207547169811321,0.641509433962264,0.641509433962264,0.641509433962264,0.641509433962264,0.641509433962264,2,0
